,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Pochutla,MX,15.7432,-96.4661,72.82,91,100,1.92,light rain
132,Vilhena,BR,-12.7406,-60.1458,80.82,69,20,6.91,few clouds
133,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,51,9.44,broken clouds
134,Auriflama,BR,-20.6856,-50.5547,91.58,28,63,7.34,broken clouds
135,Castro,BR,-24.7911,-50.0119,73.13,73,39,6.78,scattered clouds
136,Nanortalik,GL,60.1432,-45.2371,38.05,96,100,21.72,overcast clouds
137,Pangnirtung,CA,66.1451,-65.7125,23.0,58,20,12.66,few clouds
138,Cabo San Lucas,MX,22.8909,-109.9124,85.6,67,36,2.98,scattered clouds
139,Cedar City,US,37.6775,-113.0619,60.4,28,51,1.05,broken clouds
140,Porto Velho,BR,-8.7619,-63.9039,89.65,62,75,4.61,broken clouds
141,Rawson,AR,-43.3002,-65.1023,77.85,26,10,11.01,clear sky
142,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,40,18.41,heavy intensity rain
143,Nueve De Julio,AR,-35.4444,-60.8831,75.96,47,54,3.0,broken clouds
144,Hofn,IS,64.2539,-15.2082,42.82,81,20,3.44,few clouds
145,Cidreira,BR,-30.1811,-50.2056,68.81,82,55,7.99,broken clouds
146,Pevek,RU,69.7008,170.3133,27.0,96,100,6.15,light snow
147,Aleppo,SY,36.25,37.5,71.13,40,42,10.29,scattered clouds
148,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,19.57,broken clouds
149,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,35,0,20.71,clear sky
150,Moron,AR,-34.6534,-58.6198,73.8,71,50,9.17,scattered clouds
151,Coihaique,CL,-45.5752,-72.0662,59.61,58,75,3.44,broken clouds
152,Margate,GB,51.3813,1.3862,61.3,82,74,5.01,broken clouds
153,Marzuq,YE,14.4,46.4667,73.29,25,23,1.05,few clouds
154,Walvis Bay,NA,-22.9575,14.5053,65.35,72,0,11.5,clear sky
155,Fortuna,US,40.5982,-124.1573,72.5,28,2,2.71,clear sky
156,Tuatapere,NZ,-46.1333,167.6833,40.21,85,100,5.48,overcast clouds
157,Iquique,CL,-20.2208,-70.1431,64.44,65,2,9.13,clear sky
158,Dunedin,NZ,-45.8742,170.5036,44.8,67,77,4.0,broken clouds
159,Chapais,CA,49.7834,-74.8492,45.43,65,17,4.9,few clouds
160,Sao Felix Do Xingu,BR,-6.6447,-51.995,92.95,39,54,3.8,broken clouds
161,Prince Rupert,CA,54.3161,-130.3201,55.09,81,100,20.71,light rain
162,Grindavik,IS,63.8424,-22.4338,43.27,75,75,14.97,broken clouds
163,Yulara,AU,-25.2406,130.9889,63.84,63,0,7.99,clear sky
164,San Andres,CO,12.5847,-81.7006,87.82,70,20,11.5,few clouds
165,Fairbanks,US,64.8378,-147.7164,30.6,95,100,4.61,fog
166,Saldanha,ZA,-33.0117,17.9442,69.85,94,47,13.18,scattered clouds
167,Roseburg,US,43.2165,-123.3417,46.51,100,100,3.44,mist
168,Ardahan,TR,41.1087,42.7022,55.17,43,100,5.12,light rain
169,Helong,CN,42.5397,128.9972,38.03,53,0,7.11,clear sky
170,Micheweni,TZ,-4.9667,39.8333,76.26,81,5,12.39,clear sky
171,Hirara,JP,24.8,125.2833,75.6,79,100,29.86,overcast clouds
172,Erzin,TR,36.9559,36.2,68.7,74,1,3.06,clear sky
173,Yerbogachen,RU,61.2767,108.0108,28.99,84,99,8.46,overcast clouds
174,Mana,GF,5.6592,-53.7767,85.19,68,71,12.28,broken clouds
175,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,69.12,72,49,12.17,scattered clouds
176,Kastornoye,RU,51.8334,38.1302,48.9,85,100,5.41,overcast clouds
177,Altay,CN,47.8667,88.1167,33.66,64,12,3.42,few clouds
178,Shache,CN,38.4167,77.2406,53.71,20,97,10.56,overcast clouds
179,Provideniya,RU,64.3833,-173.3,35.74,98,100,33.73,moderate rain
180,Cherskiy,RU,68.75,161.3,16.61,93,100,6.4,light snow
181,Zadonsk,RU,52.3904,38.9261,49.3,85,100,4.43,overcast clouds
182,Tocopilla,CL,-22.092,-70.1979,66.51,63,12,9.1,few clouds
183,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
184,Kaeo,NZ,-35.1,173.7833,48.33,92,100,6.02,overcast clouds
185,Santa Marta,CO,11.2408,-74.199,89.65,74,40,12.66,light rain
