,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Vao,NC,70.52,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
422,Bandarbeyla,SO,78.28,clear sky,9.4942,50.8122,JABIR HOTEL
423,Linhares,BR,81.37,light rain,-19.3911,-40.0722,Hotel Conceição
424,Hoopstad,ZA,74.98,overcast clouds,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
425,Black River,JM,86.67,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
427,Kaduqli,SD,80.47,light rain,11.0167,29.7167,Nussyba
430,Buala,SB,79.56,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
434,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
437,Makakilo City,US,73.62,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
442,Imbituba,BR,79.86,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
444,Samarai,PG,81.72,scattered clouds,-10.6167,150.6667,Nuli Sapi
448,Mangrol,IN,81.03,clear sky,21.1167,70.1167,Hotel The Royal Honours
449,Pasir Gudang,MY,82.42,broken clouds,1.4584,103.8805,Swan Garden Hotel Seri Alam
452,Fare,PF,77.54,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
453,San-Pedro,CI,79.7,overcast clouds,4.7485,-6.6363,Hotel Maria
456,Cabra,ES,78.8,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
459,Mogadishu,SO,77.74,clear sky,2.0371,45.3438,Hotel Juba
460,Trelew,AR,82.2,clear sky,-43.249,-65.3051,Hotel Touring Club
461,Tirat Karmel,IL,76.55,few clouds,32.7617,34.9719,Marom Hotel Haifa מלון מרום
463,Camacha,PT,72.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
465,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
466,Yanam,IN,78.49,overcast clouds,16.7333,82.2167,The Regency Hotel
467,Muncar,ID,75.85,overcast clouds,-8.4333,114.3333,Zaky Homestay
473,Katobu,ID,75.81,overcast clouds,-4.9408,122.5276,La Ode Husein
474,Luba,GQ,79.74,overcast clouds,3.4568,8.5547,
477,Gushikawa,JP,74.43,overcast clouds,26.3544,127.8686,Kirari Guest House
479,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
480,Kasaragod,IN,76.32,light rain,12.5,75.0,Thalathoor Heritage
